Molecule ChEMBL ID	Smiles	Standard Type	Standard Relation	Standard Value	Standard Unit
CHEMBL4073604	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)N[C@@H](C)C(=O)N[C@@H](C)c3ccncc3)[nH]c3ccc(Cl)cc23)c1	IC50	=	430.0	nM
CHEMBL72335	Cc1cc(C#N)cc(C)c1Oc1ccnc(Nc2ccc(C#N)cc2)n1	IC50	=	1.1	nM
CHEMBL4438953	CCn1c(=O)[nH]c2cccc(Oc3cc(C#N)cc(/C=C/C#N)c3)c21	IC50	=	926.0	nM
CHEMBL3358172	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NC(C)c3cccs3)[nH]c3ccc(Cl)cc23)c1	IC50	=	27.0	nM
CHEMBL307950	C=Cc1cnc(Nc2ccc(C#N)cc2)nc1Nc1c(C)cc(C)cc1C	IC50	=	106.0	nM
CHEMBL72528	Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)ncc1N	IC50	=	14.0	nM
CHEMBL69890	Cc1cc(C#N)cc(C)c1Nc1nc(Nc2ccc(C#N)cc2)ncc1C#N	IC50	=	0.5	nM
CHEMBL561982	Cc1cc(C)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2CC2CC=CC2)c1	IC50	=	651.0	nM
CHEMBL555876	CCc1c(Sc2cc(C)cc(C)c2)n(CCC2C=CCC2)c(=O)[nH]c1=O	IC50	=	128.0	nM
CHEMBL560180	Cc1cc(C)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2CCC2C=CCC2)c1	IC50	=	23.0	nM
CHEMBL557435	CCc1c(C(=O)c2ccccc2)n(CC2CC=CC2)c(=O)[nH]c1=O	IC50	=	256.0	nM
CHEMBL57	Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1	IC50	=	180.0	nM
CHEMBL223228	O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1	IC50	=	7.079	nM
CHEMBL560576	Cc1cc(C)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2CC2CCCCC2)c1	IC50	=	8.0	nM
CHEMBL552192	CCc1c(C(=O)c2cc(C)cc(C)c2)n(Cc2ccccc2)c(=O)[nH]c1=O	IC50	=	25.0	nM
CHEMBL4227600	O=C(Nc1ccc(-c2cccc(NC(P(=O)(O)O)P(=O)(O)O)c2)cc1)C1CC1	IC50	=	800.0	nM
CHEMBL261773	Nc1nc2c(ncn2[C@H]2CO[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1	IC50	=	200.0	nM
CHEMBL1380	Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1	IC50	=	130.0	nM
CHEMBL1233738	Cc1cc(C#N)cc(C)c1Oc1ccnc(NC2CCN(c3ccc(S(N)(=O)=O)cc3)CC2)n1	IC50	=	24.0	nM
CHEMBL1257196	Cc1cc(C#N)cc(C)c1Oc1ccnc(NC2CCN(c3cccc(C#N)c3)CC2)n1	IC50	=	51.0	nM
CHEMBL307297	N#Cc1ccc(Nc2nc(N)nc(Cc3c(Cl)cccc3Cl)n2)cc1	IC50	=	316.0	nM
CHEMBL70514	Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)ncc1[N+](=O)[O-]	IC50	=	782.0	nM
CHEMBL564915	Cc1cc(C)cc(Sc2c(C(C)C)c(=O)[nH]c(=O)n2Cc2ccccc2)c1	IC50	=	137.0	nM
CHEMBL550507	CCc1c(Sc2cc(C)cc(C)c2)n(CC2=CCCC2)c(=O)[nH]c1=O	IC50	=	138.0	nM
CHEMBL558116	CCc1c(Oc2cc(C)cc(C)c2)n(CCC2C=CCC2)c(=O)[nH]c1=O	IC50	=	210.0	nM
CHEMBL3338531	CCCNC(=O)c1cnc(Nc2ccc(C#N)cc2)cc1Oc1c(C)cc(C)cc1C	IC50	=	320.0	nM
CHEMBL2163488	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCc3cccnc3)[nH]c3ccc(Cl)cc23)c1	IC50	=	20.0	nM
CHEMBL2397569	CN(C)c1ncc(-c2nc(=O)n(CCC3CCCO3)c3c2oc2ncc(-c4cnn(C)c4)cc23)cn1	IC50	=	6.4	nM
CHEMBL3426972	Cc1cc(C#N)cc(C)c1Oc1ccnc(NC2CCN(CC(=O)Nc3ccc(C#N)cc3F)CC2)n1	IC50	=	174.0	nM
CHEMBL2407274	O=C(NCCc1ccc(O)c(O)c1)C1C(=O)N(O)C(=O)c2ccccc21	IC50	=	130.0	nM
CHEMBL2337429	CC(C)c1c(OC2CCCCC2C)cc(Cc2ccccc2)[nH]c1=O	IC50	=	410.0	nM
CHEMBL1170190	Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccccc3)CC2)ncc1Br	IC50	=	70.0	nM
CHEMBL3347289	N#Cc1cc(Cl)cc(Oc2c(CCOc3ccncc3)c[nH]c(=O)c2Br)c1	IC50	=	10.0	nM
CHEMBL1171426	Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3cccc(Cl)c3)CC2)ncc1Br	IC50	=	241.0	nM
CHEMBL3414870	CS(=O)(=O)c1ccc(-c2ccc(Cc3ccc4c(c3)CC(=O)N(O)C4=O)cc2)cc1	IC50	=	500.0	nM
CHEMBL519537	CC(C)=CN1CCn2c(=S)[nH]c3cccc(c32)C1C	IC50	=	77.62	nM
CHEMBL3358176	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)N[C@H](C)c3ccncc3)[nH]c3ccc(Cl)cc23)c1	IC50	=	26.0	nM
CHEMBL230072	Cc1ccc(-n2nnnc2SCC(=O)Nc2ccccc2Cl)c(Cl)c1	IC50	=	8.8	nM
CHEMBL562787	Cc1cc(C)cc(Sc2c(C(C)C)c(=O)[nH]c(=O)n2CCC2C=CCC2)c1	IC50	=	246.0	nM
CHEMBL231344	CC(C)(C)c1ccc(-n2nnnc2SCC(=O)Nc2ccc(-c3ccc(CC(=O)O)cc3)cc2Cl)c(Cl)c1	IC50	=	7.7	nM
CHEMBL514451	Cc1ccc(-n2nncc2SCC(=O)Nc2ccc(-c3ccc(CC(=O)O)cc3)cc2Cl)c(Cl)c1	IC50	=	2.4	nM
CHEMBL559529	CCc1c(Oc2cc(C)cc(C)c2)n(Cc2ccccc2)c(=O)[nH]c1=O	IC50	=	95.0	nM
CHEMBL551516	CCc1c(Oc2cc(C)cc(C)c2)n(CCC2CCCC2)c(=O)[nH]c1=O	IC50	=	549.0	nM
CHEMBL539400	Cc1cc(C)cc(Sc2c(C(C)C)c(=O)[nH]c(=O)n2CC2=CCCC2)c1	IC50	=	79.0	nM
CHEMBL564867	Cc1cc(C)cc(Oc2c(C(C)C)c(=O)[nH]c(=O)n2CC2CC2)c1	IC50	=	12.0	nM
CHEMBL308954	Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br	IC50	=	4.6	nM
CHEMBL4466368	O=c1cc(Nc2ccc(-c3ccccc3O)cc2)[nH]c(=O)n1O	IC50	=	830.0	nM
CHEMBL565097	CCc1c(Oc2cc(C)cc(C)c2)n(CC2=CCCC2)c(=O)[nH]c1=O	IC50	=	122.0	nM
CHEMBL485311	C=C(C)N1Cc2cc(Cl)cc3[nH]c(=S)n(c23)C(C)C1	IC50	=	676.08	nM
CHEMBL1170386	Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(C)(=O)=O)cc3)CC2)ncc1Br	IC50	=	28.0	nM
CHEMBL2397393	Cc1sc2nc(-c3cc4ccccc4[nH]3)[nH]c(=O)c2c1C	IC50	=	480.0	nM
CHEMBL2397401	CCCc1c(CC)sc2nc(-c3ccc(O)c(O)c3)[nH]c(=O)c12	IC50	=	590.0	nM
CHEMBL3290947	O=c1nc(NCc2cccc(N3CCOCC3)c2)c2cccnc2n1O	IC50	=	200.0	nM
CHEMBL512522	C=C[C@@]1(OCP(=O)(O)OP(=O)(O)OP(=O)(O)O)C=C[C@H](n2cnc3c(N)ncnc32)C1	IC50	=	620.0	nM
CHEMBL512473	C[C@H]1NC(Cc2ccc(Cl)c(Oc3cc(Cl)cc(C#N)c3)c2F)=NNC1=O	IC50	=	11.0	nM
CHEMBL467167	O=c1[nH]nc(Cc2ccc(Cl)c(Oc3cccc(Br)c3)c2)s1	IC50	=	530.0	nM
CHEMBL1078945	NCCCNC(=O)c1ccc(NC(=O)CSC(=O)N2CCCc3cc(Cl)cc(Cl)c32)c(Cl)c1	IC50	=	7.0	nM
CHEMBL4090077	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCc3cccc(N)c3)[nH]c3ccc(Cl)cc23)c1	IC50	=	41.0	nM
CHEMBL177744	CCc1c(C)[nH]c(=O)c(N(C)CCCC#N)c1Cc1cccc(C)c1	IC50	=	5.0	nM
CHEMBL174536	CCOCCN(C)c1c(Cc2cccc(C)c2)c(CC)c(C)[nH]c1=O	IC50	=	13.0	nM
CHEMBL175692	CCc1c(C)[nH]c(=O)c(N(C)CCCO)c1Cc1cccc(C)c1	IC50	=	3.0	nM
CHEMBL4176144	Cc1cc(-c2cc(Cl)cc(Cl)c2)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1	IC50	=	46.0	nM
CHEMBL1172575	COc1ccc(OCCOCCOCC#Cc2cn([C@H]3C=C[C@@H](CO)O3)c(=O)[nH]c2=O)c(CCNC(=S)Nc2ccc(Br)cn2)c1	IC50	=	850.0	nM
