Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTverskyRefColorTversky	ScaledColor	ComboScore	ColorScore	Overlap
1c0t_BM1_1_ligand	6ooy_ligand	1	 0.947	 0.704	 0.243	 1.287	 0.827	 0.460	 1.166	 0.825	 0.340	 0.335	 1.039	-2.348	759.944
1c0u_BM5_1_ligand	6ooy_ligand	1	 0.866	 0.595	 0.272	 1.163	 0.704	 0.459	 1.193	 0.793	 0.400	 0.397	 0.992	-2.777	735.500
1c1b_GCA_1_ligand	6ooy_ligand	1	 0.767	 0.596	 0.171	 1.000	 0.709	 0.292	 1.081	 0.789	 0.292	 0.292	 0.888	-2.043	731.507
1c1c_612_1_ligand	6ooy_ligand	1	 0.755	 0.592	 0.163	 1.023	 0.742	 0.281	 1.026	 0.745	 0.281	 0.281	 0.872	-1.965	686.370
1ep4_S11_1_ligand	6ooy_ligand	1	 0.634	 0.419	 0.215	 0.836	 0.518	 0.318	 1.085	 0.687	 0.398	 0.404	 0.823	-2.826	644.005
1fk9_EFZ_1_ligand	6ooy_ligand	1	 0.919	 0.592	 0.326	 1.378	 0.726	 0.652	 1.158	 0.763	 0.395	 0.387	 0.979	-2.706	704.342
1fko_EFZ_1_ligand	6ooy_ligand	1	 0.892	 0.573	 0.319	 1.353	 0.712	 0.641	 1.134	 0.746	 0.389	 0.380	 0.953	-2.662	688.599
1fkp_NVP_1_ligand	6ooy_ligand	1	 0.716	 0.546	 0.170	 0.994	 0.704	 0.290	 0.999	 0.709	 0.290	 0.290	 0.836	-2.031	653.055
1jkh_EFZ_1_ligand	6ooy_ligand	1	 0.907	 0.578	 0.329	 1.373	 0.717	 0.656	 1.147	 0.750	 0.398	 0.389	 0.967	-2.724	692.040
1jla_TNK_1_ligand	6ooy_ligand	1	 0.787	 0.564	 0.222	 0.989	 0.646	 0.343	 1.204	 0.817	 0.387	 0.390	 0.954	-2.727	763.355
1jlb_NVP_1_ligand	6ooy_ligand	1	 0.763	 0.596	 0.167	 1.040	 0.754	 0.286	 1.027	 0.740	 0.286	 0.286	 0.883	-2.004	681.204
1jlc_FTC_1_ligand	6ooy_ligand	1	 0.768	 0.523	 0.245	 1.038	 0.666	 0.372	 1.128	 0.709	 0.419	 0.422	 0.945	-2.956	654.915
1jlf_NVP_1_ligand	6ooy_ligand	1	 0.770	 0.603	 0.167	 1.038	 0.752	 0.286	 1.039	 0.753	 0.286	 0.286	 0.889	-2.001	693.669
1jlg_UC1_1_ligand	6ooy_ligand	1	 0.815	 0.644	 0.171	 1.070	 0.778	 0.292	 1.081	 0.789	 0.292	 0.292	 0.936	-2.047	727.234
1jlq_SBN_1_ligand	6ooy_ligand	1	 0.884	 0.716	 0.168	 1.154	 0.866	 0.287	 1.093	 0.805	 0.287	 0.287	 1.004	-2.012	738.674
1klm_SPP_1_ligand	6ooy_ligand	1	 0.505	 0.355	 0.150	 0.647	 0.437	 0.211	 0.997	 0.656	 0.341	 0.354	 0.709	-2.475	621.021
1lw0_NVP_1_ligand	6ooy_ligand	1	 0.772	 0.605	 0.168	 1.036	 0.748	 0.288	 1.047	 0.759	 0.288	 0.288	 0.892	-2.013	699.699
1lw2_U05_1_ligand	6ooy_ligand	1	 0.854	 0.597	 0.258	 1.129	 0.720	 0.410	 1.187	 0.777	 0.410	 0.410	 1.007	-2.869	719.242
1lwc_NVP_1_ligand	6ooy_ligand	1	 0.773	 0.606	 0.167	 1.036	 0.750	 0.286	 1.045	 0.759	 0.286	 0.286	 0.892	-2.004	699.394
1lwe_NVP_1_ligand	6ooy_ligand	1	 0.776	 0.608	 0.168	 1.040	 0.752	 0.288	 1.049	 0.761	 0.288	 0.288	 0.896	-2.014	701.097
1lwf_NVP_1_ligand	6ooy_ligand	1	 0.775	 0.607	 0.168	 1.037	 0.750	 0.287	 1.048	 0.761	 0.287	 0.287	 0.894	-2.012	701.509
1rev_TB9_1_ligand	6ooy_ligand	1	 0.931	 0.650	 0.281	 1.176	 0.782	 0.394	 1.288	 0.794	 0.494	 0.501	 1.151	-3.510	731.787
1rt1_MKC_1_ligand	6ooy_ligand	1	 0.949	 0.703	 0.246	 1.200	 0.805	 0.395	 1.242	 0.847	 0.395	 0.395	 1.098	-2.763	782.711
1rt2_TNK_1_ligand	6ooy_ligand	1	 0.733	 0.538	 0.195	 0.928	 0.620	 0.308	 1.148	 0.801	 0.347	 0.349	 0.887	-2.446	750.147
1rt3_U05_1_ligand	6ooy_ligand	1	 0.869	 0.604	 0.265	 1.134	 0.715	 0.418	 1.214	 0.795	 0.418	 0.418	 1.023	-2.929	736.869
1rt4_UC1_1_ligand	6ooy_ligand	1	 0.778	 0.606	 0.172	 1.039	 0.745	 0.293	 1.057	 0.764	 0.293	 0.293	 0.899	-2.054	704.553
1rt5_UC2_1_ligand	6ooy_ligand	1	 0.781	 0.594	 0.187	 1.054	 0.715	 0.338	 1.072	 0.778	 0.294	 0.292	 0.886	-2.046	719.905
1rt6_UC3_1_ligand	6ooy_ligand	1	 0.782	 0.697	 0.084	 1.030	 0.863	 0.167	 0.930	 0.784	 0.145	 0.144	 0.842	-1.011	718.660
1rt7_UC4_1_ligand	6ooy_ligand	1	 0.816	 0.645	 0.171	 1.050	 0.758	 0.292	 1.105	 0.813	 0.292	 0.292	 0.937	-2.045	751.326
1rth_U05_1_ligand	6ooy_ligand	1	 0.860	 0.597	 0.262	 1.133	 0.717	 0.416	 1.198	 0.782	 0.416	 0.416	 1.013	-2.911	723.955
1rti_HEF_1_ligand	6ooy_ligand	1	 0.889	 0.679	 0.210	 1.140	 0.813	 0.327	 1.174	 0.805	 0.369	 0.372	 1.050	-2.602	740.665
1s1t_UC1_1_ligand	6ooy_ligand	1	 0.814	 0.643	 0.171	 1.068	 0.777	 0.292	 1.081	 0.789	 0.292	 0.292	 0.935	-2.041	727.649
