frag_ref	frag	score
6ooy_A7M_frag1	1c1c_612_frag1	0.50976
6ooy_A7M_frag1	1c1c_612_frag2	0.4985
6ooy_A7M_frag1	1c1c_612_frag3	0.45604
6ooy_A7M_frag1	1c1c_612_frag4	0.38058
6ooy_A7M_frag1	1c1c_612_frag5	0.36749
6ooy_A7M_frag1	1c1c_612_frag6	0.35451
6ooy_A7M_frag1	1c1c_612_frag7	0.33581
6ooy_A7M_frag1	1c1c_612_frag8	0.33372
6ooy_A7M_frag1	3c6u_M22_frag1	0.54435
6ooy_A7M_frag1	3c6u_M22_frag2	0.54435
6ooy_A7M_frag1	3c6u_M22_frag3	0.49964
6ooy_A7M_frag1	3c6u_M22_frag4	0.54808
6ooy_A7M_frag1	3c6u_M22_frag5	0.49964
6ooy_A7M_frag1	3c6u_M22_frag6	0.47152
6ooy_A7M_frag1	3c6u_M22_frag7	0.54808
6ooy_A7M_frag1	3c6u_M22_frag8	0.47152
6ooy_A7M_frag1	3c6u_M22_frag9	0.40952
6ooy_A7M_frag1	3c6u_M22_frag10	0.35367
6ooy_A7M_frag1	3c6u_M22_frag11	0.46764
6ooy_A7M_frag1	3c6u_M22_frag12	0.40952
6ooy_A7M_frag1	3c6u_M22_frag13	0.35367
6ooy_A7M_frag1	3c6u_M22_frag14	0.38525
6ooy_A7M_frag1	3c6u_M22_frag15	0.35367
6ooy_A7M_frag1	3c6u_M22_frag16	0.35367
6ooy_A7M_frag1	3c6u_M22_frag17	0.38525
6ooy_A7M_frag1	3c6u_M22_frag18	0.33627
6ooy_A7M_frag1	3c6u_M22_frag19	0.3313
6ooy_A7M_frag1	3c6u_M22_frag20	0.33092
6ooy_A7M_frag1	3i0s_RT7_frag1	0.53607
6ooy_A7M_frag1	3i0s_RT7_frag2	0.55029
6ooy_A7M_frag1	3i0s_RT7_frag3	0.55913
6ooy_A7M_frag1	3i0s_RT7_frag4	0.53335
6ooy_A7M_frag1	3i0s_RT7_frag5	0.48616
6ooy_A7M_frag1	3i0s_RT7_frag6	0.38908
6ooy_A7M_frag1	3i0s_RT7_frag7	0.38127
6ooy_A7M_frag1	3i0s_RT7_frag8	0.3857
6ooy_A7M_frag1	3i0s_RT7_frag9	0.35577
6ooy_A7M_frag1	3i0s_RT7_frag10	0.3462
6ooy_A7M_frag1	1rth_U05_frag1	0.50391
6ooy_A7M_frag1	1rth_U05_frag2	0.4916
6ooy_A7M_frag1	1rth_U05_frag3	0.3313
6ooy_A7M_frag1	1rth_U05_frag4	0.33557
6ooy_A7M_frag1	1rth_U05_frag5	0.33118
6ooy_A7M_frag1	3lan_KBT_frag1	0.4872
6ooy_A7M_frag1	3lan_KBT_frag2	0.4872
6ooy_A7M_frag1	3lan_KBT_frag3	0.46681
6ooy_A7M_frag1	3lan_KBT_frag4	0.46681
6ooy_A7M_frag1	3lan_KBT_frag5	0.37634
6ooy_A7M_frag1	3lan_KBT_frag6	0.37634
6ooy_A7M_frag1	3lan_KBT_frag7	0.37634
6ooy_A7M_frag1	3lan_KBT_frag8	0.37634
6ooy_A7M_frag1	3lan_KBT_frag9	0.38796
6ooy_A7M_frag1	3lan_KBT_frag10	0.33524
6ooy_A7M_frag1	3lan_KBT_frag11	0.33092
6ooy_A7M_frag1	3lan_KBT_frag12	0.33092
6ooy_A7M_frag1	3lan_KBT_frag13	0.34673
6ooy_A7M_frag1	2hnd_NVP_frag1	0.49923
6ooy_A7M_frag1	2hnd_NVP_frag2	0.47191
6ooy_A7M_frag1	2hnd_NVP_frag3	0.33692
